Tên sản phẩm*,Hình thức quản lý sản phẩm,Mã loại sản phẩm,Mã SKU,Barcode,Áp dụng thuế,PL_Giá nhập,PL_Giá bán buôn,PL_Giá sỉ Đặc Biệt,PL_Giá bán lẻ,PL_Giá sỉ 1,PL_Giá sỉ 2,Đơn vị,LC_CN1_Giá vốn khởi tạo*,LC_CN1_Tồn kho ban đầu*,LC_CN2_Giá vốn khởi tạo*,LC_CN2_Tồn kho ban đầu*,LC_CN3_Giá vốn khởi tạo*,LC_CN3_Tồn kho ban đầu*,LC_CN4_Giá vốn khởi tạo*,LC_CN4_Tồn kho ban đầu*,LC_CN5_Giá vốn khởi tạo*,LC_CN5_Tồn kho ban đầu*
Melsmon ống lẻ,Sản phẩm thường,Collagen - Vitamin,0104987546000038,0104987546000038,Có,54000,100000,100000,90000,100000,90000,Ống,54000,11,54000,23,54000,2,54000,0,54000,0
DR prmium sale,Sản phẩm thường,Collagen - Vitamin,175572,175572,Có,1350,1500,1500,1500,1500,1400,Hộp ,1350,0,1350,0,1350,0,1350,0,1350,0
Hebora Collagen Enrich 500ml,Sản phẩm thường,Collagen - Vitamin,18001080,18001080,Có,1300,1350,1330,1700,1350,1380,Chai,1300,1,1300,1,1300,0,1300,0,1300,0
3273-Viên uống Hyalronic cấp nước DHC (20 ngày),Sản phẩm thường,Collagen - Vitamin,4511413403273,4511413403273,Có,155000,160000,160000,250000,160000,165000,Gói,155000,0,155000,3,155000,5,155000,0,155000,0
Viên uống DHC bổ sung nước 60 ngày,Sản phẩm thường,Collagen - Vitamin,4511413403310,4511413403310,Có,300000,310000,310000,420000,310000,315000,Gói,300000,0,300000,0,300000,0,300000,0,300000,0
Viên uống bổ sung kẽm DHC 60v,Sản phẩm thường,Collagen - Vitamin,4511413403730,4511413403730,Có,96000,100000,99000,180000,100000,102000,Gói,96000,10,96000,9,96000,9,96000,0,96000,0
4072-Viên uống Collagen DHC 120v,Sản phẩm thường,Collagen - Vitamin,4511413404072,4511413404072,Có,90000,105000,105000,200000,105000,110000,gói,90000,0,90000,0,90000,0,90000,0,90000,0
4126-Vitamin tổng hợp 60 ngày DHC,Sản phẩm thường,Collagen - Vitamin,4511413404126,4511413404126,Có,112000,128000,125000,170000,128000,130000,gói,112000,0,112000,0,112000,0,112000,0,112000,0
4133-DHC Vitamin C 120 viên,Sản phẩm thường,Collagen - Vitamin,4511413404133,4511413404133,Có,75000,80000,78000,160000,80000,85000,Gói ,75000,20,75000,11,75000,9,75000,0,75000,0
4157-Viên uống bổ sung Collagen DHC 360 viên,Sản phẩm thường,Collagen - Vitamin,4511413404157,4511413404157,Có,210000,225000,220000,320000,225000,230000,Gói,210000,0,210000,0,210000,4,210000,0,210000,0
4874-Viên uống trắng da DHC,Sản phẩm thường,Collagen - Vitamin,4511413404874,4511413404874,Có,71000,78000,75000,120000,78000,80000,Gói,71000,10,71000,17,71000,9,71000,0,71000,0
5048-Viên uống bổ sung Vitamin E 20 ngày,Sản phẩm thường,Collagen - Vitamin,4511413405048,4511413405048,Có,130000,140000,140000,250000,140000,145000,Gói,130000,0,130000,0,130000,0,130000,0,130000,0
Vitamin E DHC 60 ngày,Sản phẩm thường,Collagen - Vitamin,4511413405055,4511413405055,Có,123000,145000,140000,220000,145000,148000,Gói,123000,9,123000,4,123000,5,123000,0,123000,0
Viên uống thơm cơ thể DHC 20 ngày,Sản phẩm thường,Collagen - Vitamin,4511413405482,4511413405482,Có,203000,215000,210000,300000,215000,220000,Gói,203000,9,203000,16,203000,10,203000,0,203000,0
Viên uống DHC Rau củ 60 ngày,Sản phẩm thường,Collagen - Vitamin,4511413405611,4511413405611,Có,220000,240000,235000,350000,240000,245000,Gói ,220000,9,220000,3,220000,8,220000,0,220000,0
1821-Collagen DHC 7000 mg,Sản phẩm thường,Collagen - Vitamin,4511413611821,4511413611821,Có,420000,435000,430000,600000,435000,440000,Hộp (3),420000,15,420000,15,420000,0,420000,0,420000,0
Viên uống BB Lab tím trắng da 100v,Sản phẩm thường,Collagen - Vitamin,4520060831001,4520060831001,Có,1250,1300,1300,1650,1300,1300,hộp,1250,0,1250,0,1250,0,1250,0,1250,0
Pycno Q10 RC hồng,Sản phẩm thường,Collagen - Vitamin,4520060833005,4520060833005,Có,1250,1350,1350,1650,1350,1350,hộp,1250,0,1250,0,1250,0,1250,0,1250,0
Collagen BB Rich Placenta 35.000mg,Sản phẩm thường,Collagen - Vitamin,4520060834019,4520060834019,Có,1280,1310,1310,1500,1310,1350,hộp,1280,0,1280,0,1280,0,1280,0,1280,0
Super Collagen,Sản phẩm thường,Collagen - Vitamin,4521073001856,4521073001856,Có,2200,2250,2240,2550,2250,2300,Hộp(6),2200,4,2200,3,2200,2,2200,0,2200,0
Tảo xanh 1550v,Sản phẩm thường,Collagen - Vitamin,4524326200563,4524326200563,Có,410000,415000,410000,550000,415000,420000,Hộp (12),410000,21,410000,24,410000,16,410000,0,410000,0
1683-Dấm đen 120 viên,Sản phẩm thường,Collagen - Vitamin,4524326201683,4524326201683,Có,150000,155000,155000,250000,155000,160000,gói,150000,0,150000,0,150000,0,150000,0,150000,0
2314-Viên uống Collagen +Placenta 120v,Sản phẩm thường,Collagen - Vitamin,4524326202314,4524326202314,Có,320000,335000,335000,500000,335000,350000,hộp,320000,0,320000,0,320000,0,320000,0,320000,0
Viên uống trắng da & chống nắng Fresa 60  viên,Sản phẩm thường,Collagen - Vitamin,4545593011379,4545593011379,Có,1014,1080,1050,1550,1080,1100,Hộp,1014,0,1014,0,1014,0,1014,0,1014,0
0295-Bột Collagenaid Nitta Gelatin 110g,Sản phẩm thường,Collagen - Vitamin,4560103690295,4560103690295,Có,520000,540000,530000,750000,540000,550000,Hộp,520000,3,520000,3,520000,3,520000,0,520000,0
0646-Viên uống bổ sung Collagen Maihada 180 viên,Sản phẩm thường,Collagen - Vitamin,4560103690646,4560103690646,Có,300000,315000,310000,440000,315000,320000,Hộp,300000,5,300000,7,300000,3,300000,0,300000,0
Collagen The Happy ( Lẻ),Sản phẩm thường,Collagen - Vitamin,4560103690653,4560103690653,Có,20000,,,50000,,,Chai ,20000,0,20000,0,20000,0,20000,0,20000,0
Collagen De Happy 10.000 ,Sản phẩm thường,Collagen - Vitamin,4560103690707,4560103690707,Có,670000,680000,675000,800000,680000,685000,hộp (3),670000,0,670000,0,670000,0,670000,0,670000,0
4477-Bột trái cây rau củ giảm cân Zeas Medic 300g,Sản phẩm thường,Collagen - Vitamin,4560248234477,4560248234477,Có,295000,310000,305000,450000,310000,315000,Gói(36),295000,0,295000,0,295000,0,295000,0,295000,0
4965-Bột trái cây giảm cân màu đỏ Zeas Medic 300g,Sản phẩm thường,Collagen - Vitamin,4560248234965,4560248234965,Có,350000,370000,370000,450000,370000,380000,Gói(36),350000,0,350000,0,350000,0,350000,0,350000,0
5672-Bột trái cây giảm cân trái dừa Zeas Medic 300g,Sản phẩm thường,Collagen - Vitamin,4560248235672,4560248235672,Có,295000,310000,305000,450000,310000,315000,Gói(36),295000,0,295000,0,295000,0,295000,0,295000,0
2834-Viên uống Collagen 30 viên ,Sản phẩm thường,Collagen - Vitamin,4560386502834,4560386502834,Có,245000,260000,255000,350000,260000,265000,Gói,245000,5,245000,2,245000,5,245000,0,245000,0
0079-Collagen Dâu Akiba 6.5gx15 gói,Sản phẩm thường,Collagen - Vitamin,4560487620079,4560487620079,Có,365000,380000,385000,600000,380000,390000,Hộp,365000,0,365000,0,365000,0,365000,0,365000,0
Collagen & placenta 270 viên,Sản phẩm thường,Collagen - Vitamin,4562119119159,4562119119159,Có,980000,1030,1010,1500,1030,1050,hộp,980000,7,980000,3,980000,5,980000,0,980000,0
1985-Collagen Zyme 100,Sản phẩm thường,Collagen - Vitamin,4562249291985,4562249291985,Có,1700,1750,1730,1500,1750,1760,Chai,1700,0,1700,0,1700,0,1700,0,1700,0
Placenta nhau thai ngựa đua  Plaenzyme EX ,Sản phẩm thường,Collagen - Vitamin,4562249292395,4562249292395,Có,980000,1020,1000,1350,1020,1030,hộp(5),980000,48,980000,16,980000,6,980000,0,980000,0
Tảo dành cho người tiểu đường +GUT,Sản phẩm thường,Collagen - Vitamin,4562282910317,4562282910317,Có,265000,320000,320000,400000,320000,320000,cái,265000,0,265000,0,265000,0,265000,0,265000,0
Tảo xoắn DX 1000 viên,Sản phẩm thường,Collagen - Vitamin,4562282910447,4562282910447,Có,1050,1100,1100,1650,1100,1150,Hộp,1050,0,1050,0,1050,0,1050,0,1050,0
0454-Tảo DX 300 viên,Sản phẩm thường,Collagen - Vitamin,4562282910454,4562282910454,Có,450000,490000,490000,650000,490000,500000,Hộp,450000,0,450000,0,450000,0,450000,0,450000,0
Tảo EX Family  2000 viên,Sản phẩm thường,Collagen - Vitamin,4562282910607,4562282910607,Có,1520,1580,1570,1850,1580,1600,Hộp(10),1520,24,1520,12,1520,24,1520,0,1520,0
1679-Bemax 2020 Tinh chất ECM 1200MG,Sản phẩm thường,Collagen - Vitamin,4571132621679,4571132621679,Có,1950,2050,2000,2450,2050,2100,Hộp,1950,5,1950,0,1950,0,1950,0,1950,0
Viên uống chống nắng Bemax the Sun 30 viên,Sản phẩm thường,Collagen - Vitamin,4571132621815,4571132621815,Có,480000,495000,490000,650000,495000,500000,hộp,480000,4,480000,4,480000,4,480000,0,480000,0
6597-Bột giúp ngủ ngon Orihiro 200mg,Sản phẩm thường,Collagen - Vitamin,4571157256597,4571157256597,Có,245000,270000,265000,350000,270000,275000,Gói,245000,3,245000,4,245000,5,245000,0,245000,0
6979-Collagen Orihiro bột hồng 210g,Sản phẩm thường,Collagen - Vitamin,4571157256979,4571157256979,Có,320000,335000,330000,450000,335000,340000,gói,320000,0,320000,0,320000,0,320000,0,320000,0
7594- BB nở ngực ,Sản phẩm thường,Collagen - Vitamin,4571157257594,4571157257594,Có,360000,385000,380000,550000,385000,390000,hộp,360000,6,360000,2,360000,4,360000,0,360000,0
